Time,The 1th agent,The 2th agent,The 3th agent,The 4th agent,The 5th agent,The 6th agent,The 7th agent,The 8th agent,The 9th agent,The 10th agent,The 11th agent,The 12th agent,The 13th agent
0,222.91129003298474,0.4630188086152547,223.04207561712553,0.45393528024111657,0.46957450531100703,0.4538031495129027,222.62254552455516,0.45984857440014515,222.76201700613908,113.68521929229229,113.94163909693948,113.5412679153448,114.05312015248073
1,222.91095827630568,0.4630107550268087,223.03854170839313,0.45361543055187337,0.4695586203113259,0.45560573039882446,222.62180840430838,0.4597688810794843,222.75991632022826,113.6849874880085,113.93211041501603,113.5407599596311,114.05246753213594
2,222.58885662593812,0.5988917414278925,222.6005402653364,0.32682520214777666,0.46916279616797474,0.7479591713207611,222.3743554028687,0.9295842258000656,222.16123286286245,112.42082702124753,112.56320621198167,113.43108995074235,113.9976926188665
3,221.87994404768244,1.3333442934197202,221.01123829750887,0.7070483890292267,0.47009244913221726,1.3693434907507103,221.92345946445926,2.303788840680957,220.41017295711634,109.7450514616824,109.27296322166289,113.03867787582364,113.60603100588618
4,221.3405598371326,2.118623478433933,219.1954816518055,1.2981002517407185,0.4608269748330783,2.1635715470886323,221.22361690224955,3.326901445720913,218.06745682474622,107.03602717544875,105.70851452076734,111.74624853494474,113.30370011637963
5,220.96165447051897,3.2320080390219545,216.96419637450703,1.8622426250176853,0.46003963648466406,3.0519881308154684,220.0451823056221,3.936092527091273,215.30976073271313,104.32857132927536,101.99074691010283,109.24785476723034,113.2106475577488
6,220.27074268829506,4.271669441900761,214.27959746318297,2.491615941895317,0.4353688148576819,4.017957949802257,218.6589419715756,4.987797848355066,212.3485467512571,101.42738398999168,98.103873170055,106.23771808269011,112.2450019149555
7,218.95222946245795,5.263990259845711,211.3058654862219,3.2201148752676536,0.41924767833594784,4.873814449545533,217.08258218100127,6.483921902062255,209.35417048685107,98.42482004489928,94.31867189595023,103.19944186731918,109.95791432998651
8,217.0172089884766,6.00112394947086,208.30044852780534,3.725272055363417,0.3898905746221932,5.722189702137386,215.416511431412,7.7469446496503735,206.43915722798573,95.41084291993022,90.66997225775371,100.22627034893087,106.72405634074832
9,214.62210840909654,6.648074902918564,205.1344992824212,3.992242922094679,0.3722126707167478,6.5325519628595,213.53448000195928,8.794950248558981,203.35229403695925,92.24740277442326,86.875864354372,96.89300462205445,103.10035980149193
10,212.11845405137478,7.361656691246339,202.02716704575226,4.016401793839758,0.4093664899073162,7.343846825809687,211.5179140722152,9.52770084597879,200.20417791568664,89.11575661419569,83.12219066675834,93.34942875670907,99.52512754218324
11,209.56328380177192,8.107702628084901,198.968807334315,4.1063197910634575,0.4665411217736022,8.158415815511267,209.45156141668468,10.019474721254284,197.17126033967207,86.03500836947282,79.52669530027126,89.94592236118996,96.1653394533482
12,206.8532639800578,8.93545517123915,195.6948965397167,4.272976332748751,0.5495266960372336,8.935098593203904,207.19206705417022,10.668200842707567,194.05036627240736,82.76881682048385,75.85051106124818,86.42762198466895,92.58230622173905
13,204.09126073321502,9.711134525787477,192.40611069750986,4.338394295208602,0.699289575664225,9.742594152836595,204.92237614656761,11.427835560995856,190.7767974298119,79.55526677203481,72.19001475034915,82.85885323236127,88.88181065360084
14,201.28617703780264,10.508956638837299,189.12413168174285,4.397831780744482,0.872678978362743,10.60672368457127,202.52798199382886,12.108122678234038,187.48633411438684,76.38969651734956,68.44741130649234,79.34040162418975,85.26210123439405
15,198.41169608610096,11.338615538120328,185.8690646029638,4.411368087969621,0.9776121242556715,11.304031643157565,200.06758820580353,12.873198800711924,184.24626421099023,73.33488991948772,64.80270868408739,75.80452574880299,81.59548098266762
16,195.4933988244487,12.144592635891069,182.5464911227262,4.352894369619865,1.0685057453045579,12.06535391430489,197.55003198138579,13.61226496530399,180.9532674107675,70.61834763569226,61.144005177584134,72.29106832246475,77.98203164923105
17,192.68818315362398,12.880621428437081,179.35167555317747,4.1614316635821575,1.145799176249267,12.792991096736875,195.12912299062552,14.336659213918194,177.74997575086655,68.57190810955312,57.591863746456,68.97082570915494,74.60544892370999
18,189.8520100412838,13.709291508355214,176.0544066943979,3.8112491548626437,1.133104087702144,13.392546718736345,192.6266010417845,15.118822204746467,174.43724783192636,67.22763297105642,54.01324343078587,65.40719544866278,70.96522330592384
19,187.14695788066496,14.529149679599847,172.8312844915276,3.289891019695782,1.1305677991721246,14.06250718127877,190.12524984902623,15.834438755135292,171.22229963389472,66.64362735366036,50.510470528825486,61.88884907092483,67.41576368952973
20,184.3735311514195,15.425641708612348,169.32926830521512,2.517321202980871,1.1369853401102044,14.777476731111216,187.32002056613808,16.580951249870683,167.81964345737637,66.77566665685619,46.75331743773259,58.2642536255997,63.71390876021562
21,181.82347950165675,16.255453743687628,166.11113952626457,1.9495240946488184,1.0760485737427108,15.432474399438332,184.57563813438887,17.16900616269182,164.6025591450289,66.81608314054397,43.222719917892874,54.88193810790303,60.216976466884844
22,179.07342452986703,17.073339660141702,162.80876896576487,1.524854115074135,1.0660117321778957,16.122258093249343,181.5663961561248,17.74407721151729,161.30134870047138,65.73666906962755,39.58107846429158,51.43521926159425,56.70249906123661
