Time,The 1th agent_x,The 1th agent_y,The 2th agent_x,The 2th agent_y,The 3th agent_x,The 3th agent_y,The 4th agent_x,The 4th agent_y,The 5th agent_x,The 5th agent_y,The 6th agent_x,The 6th agent_y,The 7th agent_x,The 7th agent_y,The 8th agent_x,The 8th agent_y,The 9th agent_x,The 9th agent_y,The 10th agent_x,The 10th agent_y,The 11th agent_x,The 11th agent_y,The 12th agent_x,The 12th agent_y,The 13th agent_x,The 13th agent_y
0,-3.9989461219336886,4.000837504868997,0.0012868948793652317,2.0000558226510603,4.000953271391197,3.9991510173536184,-1.9987923564086219,8.136060082148407e-05,0.000501535710129722,5.167452446530272e-05,2.0009687536407315,6.489079282771167e-05,-3.9988193468016875,-4.000747498911086,0.0014347265647635709,-1.9999468599155494,4.001047971906349,-3.9990294884844495,-5.443659153087645,-0.00013949065523039496,5.445081599241852,8.037977708241294e-05,0.0034457872091839528,-5.444451418650162,0.0033732765704349243,5.4444972555146895
1,-3.9989257963193916,4.000849352570212,0.0012919397994666923,2.0000565190636075,4.000953934633134,3.999132552472741,-1.9987844844406446,9.413097364259978e-05,0.0005803128092367099,5.596780412569014e-05,2.0011426376119794,5.189903873057155e-05,-3.9988099138383317,-4.000742008524024,0.001459066535339956,-1.9999386217121318,4.001050686096236,-3.9990245114064744,-5.443657809567247,-0.00011956767953394794,5.445109368768689,7.276906190009183e-05,0.0034650270628919797,-5.444449971626193,0.0034195267091353156,5.444499965998825
2,-3.998921697936273,4.000852313221607,0.001322880888769719,2.000066841143088,4.000940637160132,3.999135151703223,-1.9987796948427363,0.00011076730379972018,0.0005831532650039537,5.805993386419447e-05,2.001181426690459,5.258209895507918e-05,-3.998803852029638,-4.00073861042569,0.0014658142213905497,-1.9999396987687839,4.001028669476656,-3.99899751496841,-5.443656087737183,-0.0001192323052706955,5.445151861010102,8.058807922914527e-05,0.0034910018708056273,-5.444449925051881,0.0034159228881492634,5.4444976899651785
3,-3.996396274288085,4.000956129454237,0.0003158370249935918,2.000052713745571,3.9992730178582354,3.9992459905424704,-2.008717304950496,0.00013140948821399237,-0.00518464007212464,4.248664134853307e-05,1.9991599511585978,-0.00022575347395742567,-3.994951998902582,-4.000102747688983,6.971351041759126e-05,-1.9999676308570875,4.003648351671815,-4.001075543926659,-5.44964572106447,-0.003311791325332628,5.4498940064488055,0.007444872464145003,-0.004992348874662259,-5.44352369161473,0.0022420887927931455,5.443805094420916
4,-4.007241812456835,4.002242033444502,-0.012093432602331337,1.9999547996576337,4.008720039737208,4.007320877848963,-2.038724349074775,-0.0018555042227633902,-0.027339401231807132,-5.221855527632007e-05,1.9854019890253762,-0.0011384287011476668,-3.9859304138015794,-4.001016763856397,-0.004211059022051609,-1.999986710170257,4.014711432858457,-4.009157212967277,-5.464589820903308,-0.02864567670667902,5.458452120109566,0.009847939427707857,-0.02360435704147247,-5.4415918700547214,-0.013329215497676879,5.438783830410281
5,-4.013073129977873,3.99391490920757,-0.024793017019372147,2.000441185656684,4.015787864224712,4.022055916438844,-2.0690994183975833,-0.006610171652225,-0.05034581801050572,-0.00016504829161265738,1.9723776320890505,-0.0028843229462669055,-3.98256366799121,-4.003573871942854,-0.012032754727669504,-2.0031850235123008,4.0276343738938,-4.018743872912115,-5.480835533060028,-0.034658915916770484,5.4652648959962615,0.01581172752052356,-0.03578000424252138,-5.442410141236998,-0.05254934038421335,5.434627616295644
6,-4.008319060865323,3.9866472992434265,-0.034190829517874756,2.000243937261871,4.02212546897054,4.043562483551319,-2.102306049393644,-0.007421375486876033,-0.07562479992073444,-0.0001320922953759696,1.9609184366112138,-0.004609624744061445,-3.989785613907594,-3.9966838956712607,-0.024121670307636834,-2.012047525075087,4.038046135229357,-4.032572167495936,-5.497565651249881,-0.014181965521755095,5.469780660758367,0.02063515124131142,-0.06684039116165737,-5.447444566198404,-0.10074091195938165,5.432045206252919
7,-4.000938892647499,3.993133500601578,-0.04028016789225846,2.0017645455985305,4.02836958157547,4.0608065208182715,-2.1394987655117634,-0.0005183433751675298,-0.10025478242036326,-0.00013114570643988542,1.9538789854559957,-0.0046969365169328495,-3.988744996377238,-3.9760940864842054,-0.0331079302343748,-2.0250991280953805,4.045330955792003,-4.0460448105701605,-5.513839268534159,-0.011825263485917075,5.474818123731401,0.026323691917341647,-0.12242803847666273,-5.456468376676492,-0.11806855166667353,5.433842273764103
8,-4.004313740950786,4.0068739797120125,-0.04519183861275284,2.0073608006476027,4.038339759794098,4.0715008146467655,-2.177093918346896,0.006752782239009928,-0.12513701971756666,4.190099655041877e-06,1.9469510613861838,-0.004670026048091381,-3.979382344976575,-3.9585353672077868,-0.0336849337674801,-2.0381974507187204,4.055036410896342,-4.056118733747841,-5.527671881181564,-0.03525910016594816,5.481102340336063,0.03077147718940869,-0.17317563666846594,-5.466846398029424,-0.11849049931000992,5.438599523109525
9,-4.017329425850361,4.017120823292896,-0.04942986028069607,2.016653929471494,4.046945377648072,4.080781696315508,-2.211845925238199,0.007984089010093938,-0.14939880640113137,0.0004965051861615747,1.9421373565902775,-0.0055858058350401725,-3.9755082822302423,-3.9581815698384335,-0.03257254177215173,-2.0481838911410604,4.063318218308485,-4.066383438725042,-5.539308479410039,-0.06071658458822311,5.487241398206305,0.03357077736240302,-0.20072948122701703,-5.476727619077079,-0.12418185566056106,5.445952171888723
