Time,The 1th agent_x,The 1th agent_y,The 2th agent_x,The 2th agent_y,The 3th agent_x,The 3th agent_y,The 4th agent_x,The 4th agent_y,The 5th agent_x,The 5th agent_y,The 6th agent_x,The 6th agent_y,The 7th agent_x,The 7th agent_y,The 8th agent_x,The 8th agent_y,The 9th agent_x,The 9th agent_y,The 10th agent_x,The 10th agent_y,The 11th agent_x,The 11th agent_y,The 12th agent_x,The 12th agent_y,The 13th agent_x,The 13th agent_y
0,-1.9991003514346695,2.000032420377674,0.0010047077157057348,1.9998392878487596,2.0012319156814207,1.9999919814918043,-1.9991510489659512,4.584258042872253e-05,0.0005257198993270512,0.000269872622462883,2.000619512324684,3.954745729867304e-05,-1.9988820260014932,-1.9999781579991978,0.0010455529113676055,-1.9999719087662298,2.00101493875934,-2.000273241345573,-3.9990192900201915,6.846838833549193e-05,4.000490783542702,-0.00048398846048159586,0.014180774886040123,-4.026663767047079,0.013531007242013254,4.02664452433959
1,-1.9990592712500288,2.000033260316845,0.0010134350619053299,1.9997936074705862,2.0012405075046185,1.9999455270121558,-1.9991297428962158,5.491810459753094e-05,0.0005345817217574239,0.0003142216525375643,2.0006331017785506,4.408016339622982e-05,-1.9988527067018709,-1.9999629632469835,0.0011855987582890049,-1.9999723781236842,2.001023509151743,-2.0003198188754623,-3.9989994368624457,7.80556144728061e-05,4.000499231750393,-0.0005312338411019692,0.01564089911376726,-4.028872788187489,0.014960010963305292,4.0288457370727935
2,-1.9888427744826134,1.999034835016279,-0.003315249504684161,1.9997373540333534,1.9888094867793151,2.000450416055504,-1.979541298854842,0.0004927455486687264,-0.0068653356959272015,0.0004748913893946277,1.9762670603990926,-0.00022039388684426614,-1.9830345472473254,-1.997824125499822,0.0011892332779831752,-1.9999727896018002,1.9780358776552178,-2.001709300677463,-3.9706784790794263,-0.001965440284947611,3.966771459368967,-0.0001805026101237397,0.022276949504772305,-4.02609885511647,0.015564884553354745,4.029749698046543
3,-1.959712784069244,1.9903030538169848,-0.012019576386475021,2.0017386229363607,1.965062983489676,2.006751608403582,-1.9377353656883882,0.0031204859764714667,-0.016830545897744752,-0.0005920251703345625,1.9363844178113814,-0.0013129485534980672,-1.9543343749719955,-1.9859491126828228,0.0011928723351930298,-1.999973184161559,1.9513615632004166,-2.009776939044513,-3.930240478268635,-0.009566161444738893,3.927125175598214,0.0002601089635349451,0.03674068004351066,-4.014246144652604,0.016176609519785175,4.030647801631701
4,-1.9327324058278328,1.9737356378396174,-0.011827507503323644,2.0002656222400073,1.9479362509393519,2.0178832341935196,-1.8967258205375164,0.007613510204556762,-0.024773099799947303,-0.0018601271545701354,1.8964817244853984,-0.003312107446498735,-1.9253811021727063,-1.9664075553460303,-0.0032831325203582663,-1.9998653263220831,1.936082397643132,-2.0202348893293296,-3.8907757734348714,-0.020038664431578868,3.8875184978446424,0.0006014728681021602,0.052592701464426704,-3.9917665227003853,0.03733928847101008,4.0226683633689095
5,-1.8811180503437024,1.9083624385050009,-0.004482604573237546,1.9679348425613175,1.9357036821643068,2.0408342801368864,-1.80689995793741,0.029654522543208512,-0.046725509285878264,-0.002757303260373278,1.809144003844337,-0.015446095000161461,-1.8780910655544139,-1.8965592281558177,-0.01421434824044641,-2.004282017636337,1.9251483863659082,-2.039202094902925,-3.813597288933808,-0.05233532203687819,3.806640237370694,-0.0028340376715013673,0.0635610858023155,-3.9220334732906723,0.05826418305799761,4.007852616315847
6,-1.8603217315048572,1.8729793934485233,-0.011056225917499524,1.9329356234557873,1.930593124173021,2.0288305659803787,-1.7702481342416425,0.03988658321427051,-0.05614192825903493,-0.0032268474492214588,1.7681602423903346,-0.02679124303278367,-1.8602956293701398,-1.8598008814883942,-0.007527794614356429,-1.9813590159886827,1.9185128908646418,-2.017958353227503,-3.7791661281987956,-0.054736603012695846,3.7841769507838854,-0.012483806425225577,0.05829711860361925,-3.8797714086707993,0.0600233818600135,3.989106228855772
7,-1.8360392940223114,1.8493314268489904,-0.01894733189035006,1.8937547228684726,1.9137926099050795,1.9993885076694429,-1.74191650372714,0.04426736071877291,-0.06121162564341845,-0.0035322074669314227,1.7327076112254178,-0.03887834248117934,-1.836998033240857,-1.827761683274778,-0.005173079725133071,-1.9427178107259377,1.9016096317325955,-1.9871393112308318,-3.7435713659807868,-0.04782207826038867,3.7768273862641664,-0.017911300133361154,0.053008534525403044,-3.83805943106976,0.052939136381268945,3.9562138866560574
8,-1.8012944783215714,1.8264835353128326,-0.02063059447343798,1.859496661276859,1.8911984656701153,1.967964202059697,-1.7181804575306305,0.04487385397451944,-0.063789001945615,-0.0039148627379262365,1.7001363575643043,-0.0549667884091656,-1.8114849150504135,-1.792660819280419,-0.006020452641078371,-1.8994011824076744,1.878701138895592,-1.954448803549795,-3.7037827997616324,-0.032610333774868924,3.7805433570702487,-0.008049652826292436,0.047978608391241184,-3.794066891928801,0.03865771351467181,3.9218511875206126
9,-1.722711881082156,1.7804932916103375,-0.010510313979053193,1.7934756960082907,1.827478184217318,1.9118175629250236,-1.6614616127698283,0.04204177581360799,-0.07111045081867823,-0.004237696333040778,1.654093836168557,-0.1102618648325977,-1.7504367166620138,-1.7303503083630989,-0.006187343409974828,-1.808662532079252,1.8125034303342484,-1.8999065856888575,-3.635913101108949,-0.002603865792591387,3.7781510610278057,0.017869813243245568,0.04156906815252764,-3.703463861321184,0.0009551522782988678,3.8596377894223135
